date,country,campaign_name,adset_name,cost,impressions,clicks
2018-06-15,COUNTRY 3,CAMPAIGN 3,Adset 3,5.02,6820,11
2018-02-13,COUNTRY 2,CAMPAIGN 2,Adset 2,3.15,840,5
2018-02-01,COUNTRY 4,CAMPAIGN 4,Adset 4,0.01,8,
2018-01-12,COUNTRY 4,CAMPAIGN 4,Adset 4,0.04,11,
2018-06-01,COUNTRY 1,CAMPAIGN 1,Adset 6,22.15,49693,
2018-02-18,COUNTRY 4,CAMPAIGN 4,Adset 4,5.14,1030,24
2018-03-20,COUNTRY 4,CAMPAIGN 4,Adset 4,0.01,6,
2018-08-31,COUNTRY 2,CAMPAIGN 2,Adset 2,1.41,1885,10
2018-07-21,COUNTRY 1,CAMPAIGN 1,Adset 6,3.22,7027,
2018-09-01,COUNTRY 3,CAMPAIGN 3,Adset 3,23.66,15273,72
2018-06-21,COUNTRY 2,CAMPAIGN 2,Adset 2,5.76,2019,5
2018-04-30,COUNTRY 3,CAMPAIGN 3,Adset 3,12.68,5927,11
2018-06-11,COUNTRY 4,CAMPAIGN 4,Adset 4,1.09,724,4
2018-06-26,COUNTRY 6,CAMPAIGN 6,Adset 6,24.83,59226,163
2018-03-06,COUNTRY 4,CAMPAIGN 4,Adset 4,3.31,1169,3
2018-05-26,COUNTRY 1,CAMPAIGN 1,Adset 6,4.87,3751,5
2018-08-06,COUNTRY 1,CAMPAIGN 1,Adset 1,2.05,12997,2
2018-04-05,COUNTRY 4,CAMPAIGN 4,Adset 4,0.59,265,4
2018-02-03,COUNTRY 4,CAMPAIGN 4,Adset 4,4.56,1051,4
2018-04-29,COUNTRY 1,CAMPAIGN 1,Adset 6,6.04,4534,33
2017-12-02,COUNTRY 6,CAMPAIGN 6,Adset 6,1.19,250,5
2018-02-23,COUNTRY 4,CAMPAIGN 4,Adset 4,5.14,682,
2018-01-05,COUNTRY 4,CAMPAIGN 4,Adset 4,0,6,
2018-09-08,COUNTRY 1,CAMPAIGN 1,Adset 6,3.74,4062,10
2018-08-31,COUNTRY 6,CAMPAIGN 6,Adset 6,17.82,17838,8
2018-07-12,COUNTRY 1,CAMPAIGN 1,Adset 6,2.9,3183,
2018-01-13,COUNTRY 1,CAMPAIGN 1,Adset 1,0.16,788,2
2018-09-15,COUNTRY 4,CAMPAIGN 4,Adset 4,1.17,243,
2018-09-01,COUNTRY 2,CAMPAIGN 2,Adset 2,3.27,2213,8
2018-05-18,COUNTRY 2,CAMPAIGN 2,Adset 2,0.14,107,
2018-01-28,COUNTRY 3,CAMPAIGN 3,Adset 3,0.5,160,
2018-03-15,COUNTRY 6,CAMPAIGN 6,Adset 6,5.54,1485,7
2018-08-15,COUNTRY 1,CAMPAIGN 1,Adset 6,8.79,4090,10
2018-05-05,COUNTRY 1,CAMPAIGN 1,Adset 1,24.15,28150,179
2018-08-10,COUNTRY 1,CAMPAIGN 1,Adset 1,2.39,5054,30
2018-05-31,COUNTRY 2,CAMPAIGN 2,Adset 2,0.19,42,
2018-05-09,COUNTRY 3,CAMPAIGN 3,Adset 3,117.44,53738,344
2018-07-30,COUNTRY 4,CAMPAIGN 4,Adset 4,0.55,167,
2018-02-23,COUNTRY 4,CAMPAIGN 4,Adset 4,4.51,744,2
2018-01-27,COUNTRY 4,CAMPAIGN 4,Adset 4,0,34,
2018-05-31,COUNTRY 1,CAMPAIGN 1,Adset 6,2.32,1752,
2018-05-13,COUNTRY 1,CAMPAIGN 1,Adset 6,9.84,8260,34
2018-08-10,COUNTRY 1,CAMPAIGN 1,Adset 6,1.01,457,2
2017-12-01,COUNTRY 6,CAMPAIGN 6,Adset 6,0.07,64,
2017-12-07,COUNTRY 4,CAMPAIGN 4,Adset 6,0.2,28,1
2018-08-19,COUNTRY 2,CAMPAIGN 2,Adset 2,7.77,2990,10
2018-06-20,COUNTRY 1,CAMPAIGN 1,Adset 1,1.58,3561,28
2018-05-02,COUNTRY 1,CAMPAIGN 1,Adset 1,3.54,6749,45
2018-04-08,COUNTRY 1,CAMPAIGN 1,Adset 6,6.17,21781,
2018-03-25,COUNTRY 2,CAMPAIGN 2,Adset 2,0.11,41,
2018-06-08,COUNTRY 2,CAMPAIGN 2,Adset 2,2.42,1461,14
2018-04-15,COUNTRY 1,CAMPAIGN 1,Adset 1,8.67,39666,63
2018-06-28,COUNTRY 4,CAMPAIGN 4,Adset 4,4.52,1182,3
2018-04-18,COUNTRY 4,CAMPAIGN 4,Adset 4,0.48,151,
2018-08-02,COUNTRY 1,CAMPAIGN 1,Adset 6,18.91,6705,25
2018-09-04,COUNTRY 4,CAMPAIGN 4,Adset 4,0,2,
2018-05-02,COUNTRY 2,CAMPAIGN 2,Adset 2,0.86,249,2
2018-08-16,COUNTRY 2,CAMPAIGN 2,Adset 2,0.78,371,
2018-07-15,COUNTRY 4,CAMPAIGN 4,Adset 4,1.5,351,1
2018-08-27,COUNTRY 2,CAMPAIGN 2,Adset 2,0.33,429,3
2018-03-14,COUNTRY 6,CAMPAIGN 6,Adset 6,29.04,17332,13
2018-08-16,COUNTRY 1,CAMPAIGN 1,Adset 6,0.67,848,4
2018-01-04,COUNTRY 1,CAMPAIGN 1,Adset 1,68.08,45001,560
2017-12-07,COUNTRY 4,CAMPAIGN 4,Adset 4,0.42,724,2
2018-01-30,COUNTRY 1,CAMPAIGN 1,Adset 6,18.47,4551,17
2018-06-09,COUNTRY 2,CAMPAIGN 2,Adset 2,1.79,462,3
2018-08-15,COUNTRY 3,CAMPAIGN 3,Adset 3,5.12,6389,12
2018-03-22,COUNTRY 3,CAMPAIGN 3,Adset 3,0.97,525,1
2017-12-29,COUNTRY 1,CAMPAIGN 1,Adset 1,0.6,473,2
2018-01-02,COUNTRY 4,CAMPAIGN 4,Adset 6,0.02,7,
2018-06-18,COUNTRY 2,CAMPAIGN 2,Adset 2,4.55,1777,62
2018-08-26,COUNTRY 1,CAMPAIGN 1,Adset 6,4.76,7088,
2018-01-28,COUNTRY 4,CAMPAIGN 4,Adset 4,1.22,325,3
2018-01-29,COUNTRY 4,CAMPAIGN 4,Adset 4,0.06,52,
2018-01-13,COUNTRY 1,CAMPAIGN 1,Adset 6,20.79,31219,
2018-03-07,COUNTRY 4,CAMPAIGN 4,Adset 4,0.14,52,
2018-06-14,COUNTRY 2,CAMPAIGN 2,Adset 2,0,77,
2018-06-23,COUNTRY 3,CAMPAIGN 3,Adset 3,17.39,5509,12
2018-08-11,COUNTRY 1,CAMPAIGN 1,Adset 1,1.07,577,1
2018-06-19,COUNTRY 1,CAMPAIGN 1,Adset 6,0.44,159,
2018-01-08,COUNTRY 2,CAMPAIGN 2,Adset 2,2.9,1488,10
2018-06-24,COUNTRY 2,CAMPAIGN 2,Adset 2,5.84,2009,16
